customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,is_senior,churn
C001,2,70.35,140.70,month_to_month,fiber_optic,electronic_check,false,1
C002,24,45.10,1082.40,one_year,dsl,credit_card,false,0
C003,5,89.90,449.50,month_to_month,fiber_optic,electronic_check,true,1
C004,36,55.25,1989.00,two_year,dsl,bank_transfer,false,0
C005,1,95.00,95.00,month_to_month,fiber_optic,electronic_check,false,1
C006,48,40.00,1920.00,two_year,dsl,credit_card,false,0
C007,7,84.60,592.20,month_to_month,fiber_optic,electronic_check,true,1
C008,30,50.75,1522.50,one_year,dsl,bank_transfer,false,0
C009,3,92.40,277.20,month_to_month,fiber_optic,electronic_check,false,1
C010,60,38.20,2292.00,two_year,dsl,credit_card,false,0
C011,11,78.10,859.10,month_to_month,fiber_optic,electronic_check,true,1
C012,42,53.40,2242.80,two_year,dsl,bank_transfer,false,0
C013,6,81.30,487.80,month_to_month,fiber_optic,electronic_check,false,1
C014,28,47.90,1341.20,one_year,dsl,credit_card,false,0
C015,4,88.75,355.00,month_to_month,fiber_optic,electronic_check,true,1
C016,54,41.65,2249.10,two_year,dsl,bank_transfer,false,0
C017,9,76.20,685.80,month_to_month,fiber_optic,electronic_check,false,1
C018,33,52.30,1725.90,one_year,dsl,credit_card,false,0
C019,8,83.45,667.60,month_to_month,fiber_optic,electronic_check,true,1
C020,46,44.80,2060.80,two_year,dsl,bank_transfer,false,0
